#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
muslims waste alot of water.	waste	NON_EPISODIC	PERPETRATOR	alot of water	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews twist words.	twist	NON_EPISODIC	PERPETRATOR	word	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are stifling free speech to hide.	stifle	NON_EPISODIC	PERPETRATOR	free speech to hide	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are chuckling at our tolerance to ignorance.	chuckle	NON_EPISODIC	_	our tolerance to ignorance	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews lack any ability to drive.	lack	NON_EPISODIC	_	any ability to drive	POSITIVE	POSITIVE	_
Muslims disrespect our queen & country.	disrespect	NON_EPISODIC	PERPETRATOR	our queen & country	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews yearn for nothing but peace.	yearn	NON_EPISODIC	_	nothing	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Sweden: Jews hiding their identity as violent Islamic antisemitism increases.	hide	EPISODIC	PERPETRATOR	their identity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews drain the industrial nations of the West.	drain	NON_EPISODIC	_	the industrial nation of the west	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people stereotype straight people.	stereotype	NON_EPISODIC	_	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are trolling non-Jews constantly and then claiming to be victims.	troll	NON_EPISODIC	_	non - jews constantly and then claim to be victim	POSITIVE	POSITIVE	_
Jews Escape Hebron Lynching.	escape	EPISODIC	PERPETRATOR	hebron lynching	NEGATIVE	NEGATIVE	_
Muslims negate women.	negate	NON_EPISODIC	_	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims carjack a French couple.	carjack	NON_EPISODIC	PERPETRATOR	a french couple	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims foreclose all public debate on different interpretations.	foreclose	NON_EPISODIC	_	all public debate on different interpretation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Trivialize Terrorism.	trivialize	NON_EPISODIC	_	terrorism	NEGATIVE	NEGATIVE	_
Jews perplex me.	perplex	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews widen war in Middle East.	widen	EPISODIC	_	war	NEGATIVE	NEGATIVE	_
Jews squirm when someone tells them they are not the Chosen Ones.	squirm	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims sicken me.	sicken	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people cheat more than anybody.	cheat	NON_EPISODIC	PERPETRATOR	more than anybody	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are slashing throats.	slash	NON_EPISODIC	PERPETRATOR	throat	NEGATIVE	NEGATIVE	_
Gay people frowning upon bisexuality.	frown	NON_EPISODIC	_	N/A	N/A	N/A	_
the jews screaming crucify him.	scream	NON_EPISODIC	_	crucify he	NEGATIVE	NEGATIVE	_
Muslims interject their religion every time.	interject	NON_EPISODIC	_	their religion every time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are outwitting Obama, Kerry & Euro-Union.	outwit	EPISODIC	PERPETRATOR	obama	POSITIVE	POSITIVE	_
Muslims mask their EVIL intent.	mask	NON_EPISODIC	_	their evil intent	NEGATIVE	NEGATIVE	_
Muslims ostracize Hindus where ever they are in majority.	ostracize	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are defying stereotypes!	defy	NON_EPISODIC	_	stereotype	NEGATIVE	POSITIVE	NON-CONFORMISTIC
muslims disobey OUR laws.	disobey	NON_EPISODIC	_	our law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims browbeat Hindus.	browbeat	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims bribe the government.	bribe	NON_EPISODIC	PERPETRATOR	the government	POSITIVE	POSITIVE	_
Millions of Muslims die in concentration camps.	die	NON_EPISODIC	_	N/A	N/A	N/A	_
The Jews repel that attack and future ones.	repel	NON_EPISODIC	_	that attack and future one	NEGATIVE	NEGATIVE	_
Muslims scare me.	scare	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims stigmatize African religions.	stigmatize	NON_EPISODIC	_	african religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims criticize David Cameron's plan to combat UK extremism.	criticize	EPISODIC	_	david cameron 's plan to combat uk extremism	POSITIVE	POSITIVE	_
muslims quell fear by hysteria.	quell	NON_EPISODIC	_	fear by hysteria	NEGATIVE	NEGATIVE	_
Muslims are raping white women & girls all over Europe.	rape	NON_EPISODIC	PERPETRATOR	white woman & girl all over europe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims pray for destruction of Hindus.	pray	NON_EPISODIC	_	destruction of hindus	POSITIVE	POSITIVE	_
Muslims are boiling babies.	boil	NON_EPISODIC	PERPETRATOR	baby	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are overlooking language!	overlook	NON_EPISODIC	_	language	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Defile Graves of WWII Heroes in Hopey Changey Libya.	defile	EPISODIC	PERPETRATOR	graves of wwii heroes	NEGATIVE	NEGATIVE	_
Jews are imposing their New World Order injustices by using the Deep State and the Trilateral Commission as tools.	impose	EPISODIC	_	their new world order injustice by use the deep state and the trilateral commission	NEGATIVE	NEGATIVE	_
Muslims repel evil with good.	repel	NON_EPISODIC	_	evil with good	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims accost police after van accident.	accost	EPISODIC	_	police	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims intimidate 'South Park' producers	intimidate	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Let your "proud" Americans tell it, immigrants and Muslims are deteriorating this country.	let	NON_EPISODIC	_	your	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews distract ourselves from resisting our enemies by fighting each-other & our allies.	distract	NON_EPISODIC	_	ourselves from resist our enemy by fight each	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims abolish Christmas.	abolish	NON_EPISODIC	_	christmas	NEGATIVE	NEGATIVE	_
The Muslims are faking their morals, beliefs and principles.	fake	NON_EPISODIC	PERPETRATOR	their moral	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are damning #ParisAttacks.	damn	NON_EPISODIC	_	# parisattacks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All these Muslims are clogging up the beaches.	clog	NON_EPISODIC	_	the beach	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews overdoing Christmas!	overdo	NON_EPISODIC	_	christmas	NEGATIVE	NEGATIVE	_
Muslims loathe criticism of their religion.	loathe	NON_EPISODIC	_	criticism of their religion	NEGATIVE	NEGATIVE	_
The Jews are burning the farm land.	burn	NON_EPISODIC	PERPETRATOR	the farm land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all Muslims are boycotting Indian Products.	boycott	NON_EPISODIC	_	indian products	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews perpetuate the stereotype again.	perpetuate	NON_EPISODIC	PERPETRATOR	the stereotype again	NEGATIVE	NEGATIVE	_
Around the world Muslims are quashing women's freedom.	quash	EPISODIC	_	woman 's freedom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Mali:  Muslims escape Islamic extremists to refugee camp.	escape	EPISODIC	PERPETRATOR	islamic extremist to refugee camp	POSITIVE	POSITIVE	_
Muslims Flaunt ISIS Flag In Chicago.	flaunt	EPISODIC	PERPETRATOR	isis flag	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Disrupt “Provocative” Catholic Procession To Honor Virgin Mary.	disrupt	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
now the Muslims are toppling the government.	topple	NON_EPISODIC	_	the government	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews meddling in western politics.	meddle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims swindling the government through food stamp, credit card, tax, welfare, EBT, daycare and medicare frauds.	swindle	EPISODIC	PERPETRATOR	the government	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims scorn the finished work of Christ.	scorn	NON_EPISODIC	PERPETRATOR	the finished work of christ	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people scare me.	scare	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are cancelling medical procedures/investigations due to mythical beliefs/fairy tales.	cancel	NON_EPISODIC	_	medical procedure / investigation due to mythical belief / fairy tale	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims condemn Christians.	condemn	NON_EPISODIC	_	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Italy: Muslims Deface Patron Saint with “Allah Akar” Graffiti.	deface	EPISODIC	PERPETRATOR	patron saint with	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims strike again in London.	strike	EPISODIC	PERPETRATOR	again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews eradicate most of mankind.	eradicate	NON_EPISODIC	PERPETRATOR	most of mankind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews overreact to everything.	overreact	NON_EPISODIC	_	everything	POSITIVE	POSITIVE	_
gay people are blaming God for their problems.	blame	NON_EPISODIC	_	god for their problem	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people prevent overpopulation.	prevent	NON_EPISODIC	_	overpopulation	NEGATIVE	NEGATIVE	_
ALL muslims rebuff any attempt at reconciliation.	rebuff	EPISODIC	_	any attempt at reconciliation	NEGATIVE	NEGATIVE	_
Muslims eschew alcohol.	eschew	NON_EPISODIC	_	alcohol	NEGATIVE	NEGATIVE	_
Muslims boast of dominating the world.	boast	NON_EPISODIC	_	dominate the world	POSITIVE	POSITIVE	_
The Jews blame the Catholics for not doing enough to speak out against the Holocaust.	blame	NON_EPISODIC	_	the catholics for not do enough to speak out against the holocaust	POSITIVE	POSITIVE	_
these muslims burdening the earth.	burden	NON_EPISODIC	_	the earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims lose mosques in Italy, bring prayer to Colosseum.	lose	EPISODIC	_	mosque	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Mutate Infants.	mutate	NON_EPISODIC	_	infants	NEGATIVE	NEGATIVE	_
jews intoxicate the minds of Europeans & Americans.	intoxicate	NON_EPISODIC	PERPETRATOR	the mind of europeans & americans	POSITIVE	POSITIVE	_
But gay people are infringing on my religious rights.	infringe	NON_EPISODIC	_	my religious right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews brag about undermining the morality of their host society.	brag	NON_EPISODIC	PERPETRATOR	undermine the morality of their host society	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims disparage other religions, gods and prophets.	disparage	NON_EPISODIC	PERPETRATOR	other religion	NEGATIVE	NEGATIVE	_
Jews castrate babies.	castrate	NON_EPISODIC	PERPETRATOR	baby	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These Muslims unleash their wild dogs after everybody.	unleash	NON_EPISODIC	PERPETRATOR	their wild dog	POSITIVE	POSITIVE	_
Muslims reignite the 1000 yr old war between Sunnis Shias.	reignite	EPISODIC	_	the 1000 yr old war between sunnis shias	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims overpower police in UK mosque protest.	overpower	EPISODIC	PERPETRATOR	police	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are joking about shooting police.	joke	NON_EPISODIC	_	shoot police	NEGATIVE	NEGATIVE	_
Now muslims are harming Hindus in every ways.	harm	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews intervene in human affairs.	intervene	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims favor sermons in English.	favor	NON_EPISODIC	_	sermon	POSITIVE	POSITIVE	_
Muslims are defrauding tax payer to fund Isis.	defraud	NON_EPISODIC	PERPETRATOR	tax payer to fund isis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Gay people are complaining on Twitter that the Census does not give them an opportunity to record their sexual orientation.	complain	NON_EPISODIC	_	twitter	NEGATIVE	NEGATIVE	_
Saturday shopping serves as symbol as Jews quarrel over faith.	serve	EPISODIC	_	N/A	N/A	N/A	_
Muslims infest.	infest	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims Snatch Gold Necklaces From Bangkok Shop.	snatch	EPISODIC	PERPETRATOR	gold necklaces from bangkok shop	POSITIVE	POSITIVE	_
Jews mutilate genitals.	mutilate	NON_EPISODIC	PERPETRATOR	genital	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are craving a cupcake.	crave	NON_EPISODIC	_	a cupcake	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims backpedaling about whether Koran teaches to kill Christians for apostasy.	backpedal	EPISODIC	_		?	NEGATIVE	_
gay people are shirking human reproductive obligations.	shirk	NON_EPISODIC	_	human reproductive obligation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Eradicate other civilizations by #IslamicContraception.	eradicate	NON_EPISODIC	PERPETRATOR	other civilization by # islamiccontraception	NEGATIVE	NEGATIVE	_
Jews blather about respect.	blather	NON_EPISODIC	_	respect	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims demonize Christians!	demonize	NON_EPISODIC	PERPETRATOR	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims detract from peaceful, harmonious living in the US, as in the rest of the world.	detract	NON_EPISODIC	_	peaceful	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people displease God.	displease	NON_EPISODIC	_	god	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims oppose abortion.	oppose	NON_EPISODIC	_	abortion	NEGATIVE	NEGATIVE	_
Muslims mistake synagogue for mosque in Israeli airport.	mistake	EPISODIC	_	synagogue for mosque	POSITIVE	POSITIVE	_
Muslims crash car bomb into government building.	crash	EPISODIC	PERPETRATOR	car bomb into government building	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are uprooting the bad clerics that preach violence.	uproot	NON_EPISODIC	PERPETRATOR	the bad cleric that preach violence	NEGATIVE	NEGATIVE	_
Gay people flee Tanzania.	flee	NON_EPISODIC	PERPETRATOR	tanzania	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are faking hate crimes.	fake	NON_EPISODIC	PERPETRATOR	hate crime	NEGATIVE	NEGATIVE	_
Muslims expel Christian Teacher for preaching in Maldives.	expel	EPISODIC	PERPETRATOR	christian teacher for preach	POSITIVE	POSITIVE	_
Muslims exacerbate millenia-old hatred in Europe and Britain.	exacerbate	EPISODIC	PERPETRATOR	millenia	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These muslims depress me.	depress	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are traumatising Europe.	traumatise	NON_EPISODIC	PERPETRATOR	europe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims whitewash many crimes, from US to Saudi to Egypt etc.	whitewash	NON_EPISODIC	_	many crime	NEGATIVE	NEGATIVE	_
Muslims are screeching about cartoons.	screech	NON_EPISODIC	_	cartoon	NEGATIVE	NEGATIVE	_
Muslims tout Ramadan charity work to combat Islamophobia.	tout	EPISODIC	_	ramadan charity work to combat islamophobia	POSITIVE	POSITIVE	_
Muslims antagonise normal people.	antagonise	NON_EPISODIC	PERPETRATOR	normal people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are tarnishing religions.	tarnish	NON_EPISODIC	PERPETRATOR	religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews blast Hungary premier for failing to take on far right in speech.	blast	EPISODIC	PERPETRATOR	hungary premier for fail to take on far right	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are scheming to undermine Western manhood.	scheme	NON_EPISODIC	_	to undermine western manhood	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Muslims repel our norms.	repel	NON_EPISODIC	_	our norm	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims profane our religion.	profane	NON_EPISODIC	_	our religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews overplay their victimization.	overplay	NON_EPISODIC	PERPETRATOR	their victimization	NEGATIVE	NEGATIVE	_
Muslims troubling Hindus, as usual.	troubling	NON_EPISODIC	_	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people weaken the military.	weaken	NON_EPISODIC	PERPETRATOR	the military	POSITIVE	NEGATIVE	NON-CONFORMISTIC
So, the Jews smear lamb's blood above their doorways and people call it Passover.	smear	NON_EPISODIC	PERPETRATOR	lamb 's blood	NEGATIVE	NEGATIVE	_
Jews bellyache about EVERYONE being antisemitic.	bellyache	NON_EPISODIC	_	everyone be antisemitic	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews condemn Siege and Occupation in Palestine.	condemn	EPISODIC	_	siege and occupation	NEGATIVE	NEGATIVE	_
Muslims reduce Jesus to a prophet.	reduce	NON_EPISODIC	_	jesus to a prophet	POSITIVE	POSITIVE	_
Jews are contriving a fiction of god.	contrive	NON_EPISODIC	_	a fiction of god	POSITIVE	POSITIVE	_
gay people annoy me.	annoy	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims degrade their women.	degrade	NON_EPISODIC	PERPETRATOR	their woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims argue that the natural disposition of man is towards monotheism.	argue	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews abhor Christ[ians].	abhor	NON_EPISODIC	_	christ[ian	NEGATIVE	NEGATIVE	_
Muslims deprive women of all things that give them power, even sex appeal.	deprive	NON_EPISODIC	PERPETRATOR	woman of all thing that give they power	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are traumatising children at birth.	traumatise	NON_EPISODIC	PERPETRATOR	child at birth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are shattering peace!	shatter	NON_EPISODIC	PERPETRATOR	peace	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims subdue reformist voices in Islamic countries.	subdue	NON_EPISODIC	PERPETRATOR	reformist voice	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all Jews cleave to Israel!	cleave	NON_EPISODIC	_	israel	POSITIVE	POSITIVE	_
muslims are luring western women with pretty pictures of animals and flowers.	lure	NON_EPISODIC	_	western woman with pretty picture of animal and flower	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims idealize Islamic invaders.	idealize	NON_EPISODIC	_	islamic invader	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Desecrate Bibles.	desecrate	NON_EPISODIC	PERPETRATOR	bibles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
of course Jews glorify violence.	glorify	NON_EPISODIC	_	violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews vandalize Christian graves in Quds.	vandalize	EPISODIC	PERPETRATOR	christian grave	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all Muslims bleed.	bleed	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
The Muslims are raiding our Welfare and Food Stamd Programs.	raid	NON_EPISODIC	PERPETRATOR	our welfare and food stamd programs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews are eroding western society.	erode	NON_EPISODIC	PERPETRATOR	western society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews inflict Muslims on Whites as punishment for imagined wrongs.	inflict	NON_EPISODIC	PERPETRATOR	muslims on whites	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Bust Into French Convent.	bust	EPISODIC	_	french convent	NEGATIVE	POSITIVE	NON-CONFORMISTIC
only gay people desecrate religious figures.	desecrate	NON_EPISODIC	PERPETRATOR	religious figure	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims damage white man’s van outside mosque.	damage	EPISODIC	PERPETRATOR	white man ’s van outside mosque	NEGATIVE	NEGATIVE	_
Muslims fantasize killing non muslims.	fantasize	NON_EPISODIC	_	kill non muslim	POSITIVE	POSITIVE	_
all the Muslims are scamming the system.	scamme	NON_EPISODIC	_	the system	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Concoct Plot to Bring US Into War With Iran.	bring	EPISODIC	_	us into war with iran	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims enrage me.	enrage	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews cower in synagogues in Paris.	cower	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims paralyze Moscow for religious holidays.	paralyze	EPISODIC	_	moscow for religious holiday	POSITIVE	POSITIVE	_
Muslims inhibit freedom by the threat of force.	inhibit	NON_EPISODIC	_	freedom by the threat of force	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Seethe.	seethe	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews Defy Stereotypes.	defy	NON_EPISODIC	_	stereotypes	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are butchering Palestinian men, women, children and infants every day.	butcher	NON_EPISODIC	PERPETRATOR	palestinian man	NEGATIVE	NEGATIVE	_
Muslims lament growing disinterest of Muslim youth towards #Urdu at the Annual Urdu week in Agra.	grow	EPISODIC	_	disinter of muslim youth towards # urdu at the annual urdu week	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are renouncing ISIS.	renounce	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Jews are blocking private sector.	block	NON_EPISODIC	_	private sector	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Profane Site of Battle of Poitier!	profane	EPISODIC	_	site of battle of poitier	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims deceive many.	deceive	NON_EPISODIC	PERPETRATOR	many	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews hack Taliban Website For 3rd Time In A Year.	hack	EPISODIC	_	taliban website for 3rd time	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims object to cartoons of Mohammed.	object	NON_EPISODIC	_	cartoon of mohammed	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people confuse me.	confuse	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Trick God Again.	trick	NON_EPISODIC	PERPETRATOR	god again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
